County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
WEBB,14937.0,200.0,410.0,343.0,6.0,0.0,596.0,12.0,26.0,1.338956952533976
WHARTON,1830.0,30.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,1.639344262295082
WHEELER,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WICHITA,2896.0,31.0,76.0,99.0,177.0,0.0,0.0,105.0,0.0,1.0704419889502763
WILBARGER,170.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
WILBARGER COU,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILLACY,747.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0
WILLIAMSON,13449.0,1346.0,1226.0,1347.0,638.0,73.0,613.0,399.0,100.0,10.008179046769277
WILLIAMSON CO,13041.0,1198.0,1132.0,1208.0,713.0,68.0,514.0,345.0,139.0,9.186412084962809
WILSON,1798.0,135.0,27.0,124.0,64.0,0.0,139.0,0.0,0.0,7.508342602892102
WINKLER,197.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
WISE,1495.0,0.0,0.0,42.0,67.0,0.0,0.0,51.0,0.0,0.0
WOOD,1061.0,0.0,0.0,11.0,0.0,8.0,0.0,7.0,0.0,0.0
YOAKUM,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOUNG,547.0,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,0.0
ZAPATA,639.0,7.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,1.0954616588419406
ZAVALA,471.0,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.547770700636943
