County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
GRIMES,687.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,86.0,12.518195050946144,0.0,True,54.9506133102925,100.0,87.48180494905385,74.97166764495702,🎯 HIGH OPPORTUNITY
GUADALUPE,2604.0,393.0,60.0,142.0,81.0,5.0,247.0,20.0,28.0,True,TXST,393.0,15.092165898617512,15.092165898617512,True,66.1479751800536,84.90783410138249,84.90783410138249,0.0,⭐ TXST Territory
GUADALUPE COU,2508.0,383.0,80.0,161.0,83.0,0.0,204.0,18.0,11.0,True,TXST,383.0,15.271132376395537,15.271132376395537,True,65.83218474210551,84.72886762360446,84.72886762360446,0.0,⭐ TXST Territory
HALE,1146.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,True,Texas Tech,161.0,14.048865619546246,0.0,True,59.2492145830542,100.0,85.95113438045375,76.81483416761785,🔥 TOP PRIORITY
HALL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,35.3623975227635,100.0,100.0,0.0,⚫ Small Market
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,1.9011406844106464,0.0,False,46.894968693506364,100.0,98.09885931558935,0.0,⚫ Small Market
HANSFORD,296.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,11.14864864864865,0.0,False,47.88555014745393,100.0,88.85135135135135,0.0,⚫ Small Market
HARDEMAN,95.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,5.263157894736842,0.0,False,38.387180654925345,100.0,94.73684210526316,0.0,⚫ Small Market
HARDIN,1978.0,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,True,Texas A&M,88.0,4.448938321536906,3.3872598584428717,True,63.83650133858543,96.61274014155713,95.5510616784631,80.01228504745247,🔥 TOP PRIORITY
HARRIS,145843.0,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,True,UH,13131.0,9.003517481126966,3.69301234889573,True,100.0,96.30698765110427,90.99648251887304,97.09139279910588,🔥 TOP PRIORITY
